id,loop_id,stop_id,display_order,is_deleted
1,1,6,4,1
2,1,1,9,1
3,1,4,7,1
4,2,7,3,1
5,2,5,1,1
6,2,4,17,1
7,2,10,13,1
8,2,2,15,1
9,2,3,9,1
10,2,3,4,1
11,2,9,14,1
12,2,1,7,1
13,1,5,2,1
14,1,7,8,1
15,1,2,1,1
16,2,8,5,1
17,2,3,12,1
18,2,6,10,1
19,2,6,16,1
20,2,7,8,1
21,1,1,3,1
22,1,2,6,1
23,1,5,10,1
24,1,1,5,1
25,1,10,1,1
26,2,6,6,1
27,2,6,2,1
28,2,8,11,1
29,5,7,4,1
30,5,5,5,1
31,5,8,1,1
32,5,2,2,1
33,5,4,3,1
34,6,10,4,1
35,6,6,2,1
36,6,4,1,1
37,6,3,3,1
38,7,5,1,1
39,7,8,5,1
40,7,1,3,1
41,7,9,4,1
42,7,9,6,1
43,7,2,2,1
44,8,7,1,1
45,8,5,6,1
46,8,9,4,1
47,8,2,2,1
48,8,10,3,1
49,8,10,5,1
50,9,7,1,1
51,9,6,4,1
52,9,1,3,1
53,9,4,2,1
54,10,10,4,1
55,10,8,2,1
56,10,4,1,1
57,10,2,3,1
58,9,88,1,1
59,9,84,2,1
60,9,70,19,1
61,9,80,18,0
62,9,73,17,0
63,9,83,16,0
64,9,76,15,0
65,9,86,14,0
66,9,79,13,0
67,9,81,12,0
68,9,72,11,1
69,9,77,10,1
70,9,82,9,0
71,9,75,8,0
72,9,85,7,0
73,9,78,6,0
74,9,71,5,0
75,9,92,4,0
76,9,74,3,0
77,9,84,2,0
78,9,88,1,0
79,10,70,10,1
80,10,80,9,0
81,10,73,8,0
82,10,83,7,0
83,10,91,6,0
84,10,86,5,0
85,10,79,4,0
86,10,81,3,0
87,10,72,2,1
88,10,77,1,0
89,13,80,8,1
90,13,73,7,1
91,13,14,6,1
92,13,11,5,1
93,13,15,4,1
94,13,12,3,1
95,13,16,2,1
96,13,13,1,1
97,11,84,16,0
98,11,88,15,0
99,11,70,14,1
100,11,80,13,0
101,11,73,12,0
102,11,83,11,0
103,11,76,10,0
104,11,86,9,0
105,11,79,8,0
106,11,81,7,0
107,11,72,6,1
108,11,77,5,0
109,11,82,4,0
110,11,75,3,0
111,11,87,2,0
112,11,89,1,0
113,14,84,17,0
114,14,93,16,0
115,14,70,15,1
116,14,80,14,0
117,14,73,13,0
118,14,83,12,0
119,14,76,11,0
120,14,86,10,0
121,14,79,9,0
122,14,81,8,0
123,14,72,7,1
124,14,82,5,0
125,14,92,4,0
126,14,75,3,0
127,14,87,2,0
128,14,89,1,0
129,12,20,101,0
130,12,51,100,0
131,12,30,99,0
132,12,61,98,0
133,12,40,94,0
134,12,38,93,0
135,12,18,92,0
136,12,49,91,0
137,12,92,90,0
138,12,28,87,0
139,12,59,85,0
140,12,69,84,0
141,12,47,83,0
142,12,26,81,0
143,12,57,77,0
144,12,36,79,0
145,12,67,76,0
146,12,45,78,0
147,12,24,71,0
148,12,55,37,0
149,12,34,70,0
150,12,65,49,0
151,12,43,47,1
152,12,22,52,1
153,12,53,66,0
154,12,32,65,0
155,12,63,63,0
156,12,42,61,0
157,12,21,58,0
158,12,52,57,0
159,12,31,62,0
160,12,62,45,1
161,12,41,44,1
162,12,19,59,0
163,12,50,52,0
164,12,29,50,0
165,12,60,43,0
166,12,39,39,0
167,12,17,34,0
168,12,48,35,0
169,12,27,33,0
170,12,58,29,0
171,12,37,27,0
172,12,68,26,0
173,12,46,21,1
174,12,25,11,1
175,12,56,9,0
176,12,56,1,1
177,12,35,8,0
178,12,86,17,0
179,12,14,36,0
180,12,66,7,0
181,12,44,40,0
182,12,23,6,0
183,12,54,5,0
184,12,33,4,0
185,12,64,3,0
186,10,79,1,1
187,10,74,1,1
188,10,74,1,1
189,10,66,1,1
190,10,66,3,1
191,13,79,2,1
192,13,35,2,1
193,13,23,4,1
194,15,99,1,0
195,15,97,2,0
196,15,81,3,0
197,15,79,4,0
198,15,98,9,0
199,15,15,10,0
200,15,12,11,0
201,15,16,12,0
202,14,77,6,0
203,10,100,11,1
204,12,89,73,0
205,12,98,51,0
206,12,101,45,0
207,12,102,13,0
208,12,104,21,0
209,12,105,22,0
210,12,106,23,0
211,12,99,60,0
212,12,107,12,0
213,12,108,18,0
214,12,109,53,0
215,12,110,16,0
216,12,113,1,0
217,12,75,10,0
218,12,87,11,0
219,12,111,54,0
220,12,112,80,0
221,12,93,67,0
222,12,76,89,0
223,12,114,38,0
224,16,71,1,0
225,16,78,2,0
226,16,85,3,0
227,16,75,4,0
228,16,92,5,0
229,16,74,6,0
230,16,82,7,0
231,16,77,8,0
232,16,72,9,1
233,16,81,10,0
234,16,79,11,0
235,16,86,12,0
236,16,76,13,0
237,16,83,14,0
238,16,73,15,0
239,16,80,16,0
240,16,70,17,1
241,16,84,19,0
242,16,88,18,0
243,12,115,24,0
244,12,118,69,0
245,12,119,68,1
246,12,116,75,0
247,12,117,20,0
248,15,86,5,0
249,15,63,6,0
250,15,101,7,0
251,15,68,8,0
252,12,120,44,0
254,10,118,2,0
256,9,118,11,0
259,11,118,6,0
262,16,118,9,0
265,14,118,7,0
267,12,121,15,0
268,12,122,2,1
270,12,122,19,0
271,12,123,30,0
272,12,124,31,0
273,12,125,82,0
274,12,126,48,0
275,12,127,46,0
276,12,128,47,0
277,12,132,55,0
278,12,133,56,0
279,12,131,95,0
280,12,137,25,0
281,12,138,64,0
282,12,139,88,0
283,12,140,96,0
284,12,141,1,1
286,12,141,97,0
287,12,147,14,0
288,12,148,28,0
289,12,149,32,0
290,12,150,42,0
292,12,151,86,0
293,12,145,74,0
294,12,45,72,1
295,9,72,19,0
296,10,72,10,0
297,11,72,14,0
298,9,77,10,0
299,12,152,41,0
300,16,72,17,0
301,14,72,15,0
302,12,154,66,1
303,12,154,72,0
304,12,155,68,0
305,12,74,2,0
