,date,temp_mean,temp_min,temp_max,humidity_mean,wind_speed_mean,rain_1h_median,rain_3h_median,snow_1h_median,snow_3h_median
0,2021-01-01,30.593428571428607,23.468000000000085,35.708000000000006,86.57142857142857,10.95810428571429,0.22834645669291337,0.7086614173228346,0.34448818897637795,
1,2021-01-02,35.88384615384619,33.044000000000075,41.9,88.3076923076923,6.814246153846155,0.11023622047244096,0.19685039370078738,,
2,2021-01-03,34.030000000000044,32.9,35.45600000000003,90.77777777777777,6.575951481481483,0.09842519685039369,,0.09842519685039369,
3,2021-01-04,33.71750000000004,31.082000000000015,39.97400000000001,85.29166666666667,4.08532125,,,,
4,2021-01-05,32.10333333333338,29.318000000000087,34.898000000000025,89.66666666666667,7.92892222222222,0.051181102362204724,,0.19685039370078738,
5,2021-01-06,33.412250000000036,31.19000000000002,36.05,84.41666666666667,5.158149166666667,,,,
6,2021-01-07,34.20800000000005,32.45,36.35600000000003,79.875,7.207800416666667,,,,
7,2021-01-08,30.832250000000045,28.741999999999997,34.05200000000008,78.91666666666667,12.708024166666673,,,,
8,2021-01-09,28.49900000000005,26.294000000000075,33.20600000000003,77.83333333333333,5.429385416666666,,,,
9,2021-01-10,25.877750000000038,20.858000000000004,30.308000000000003,82.16666666666667,3.523275,,,,
10,2021-01-11,26.78300000000004,24.674000000000014,30.02000000000006,79.45833333333333,7.5219125,,,,
11,2021-01-12,27.83225000000003,23.03600000000007,39.758,83.08333333333333,11.026545833333332,,,,
12,2021-01-13,35.00750000000006,30.32600000000009,44.69000000000002,79.0,10.772087083333332,,,,
13,2021-01-14,38.83325000000004,32.73800000000004,44.168000000000085,73.25,9.461577916666668,,,,
14,2021-01-15,37.92488000000005,34.088000000000044,44.024000000000015,78.48,8.679560000000002,0.06692913385826772,0.20078740157480315,,
15,2021-01-16,30.84221428571433,27.878000000000064,33.26000000000008,89.85714285714286,6.643091071428571,0.11811023622047244,,0.11023622047244096,0.7086614173228346
16,2021-01-17,32.695520000000045,30.416000000000007,34.17800000000007,88.68,10.2266692,0.1279527559055118,,0.09645669291338582,0.11811023622047244
17,2021-01-18,29.218250000000044,27.068000000000087,31.783999999999992,84.625,9.906181666666667,,,0.04330708661417323,
18,2021-01-19,29.165000000000035,20.138000000000044,37.832000000000015,77.375,7.610460416666669,,,,
19,2021-01-20,30.550250000000045,24.782000000000018,36.14000000000002,71.41666666666667,13.106955833333338,0.10433070866141733,,0.03937007874015748,
