,Date,Loop ID,Mean Students Boarded,Total Students Boarded,Total Students Left Behind,Temp Mean,Temp Low,Temp High,Humidity Mean,Wind Speed Mean,Rain One Hour Median,Rain Three Hour Median,Snow One Hour Median,Snow Three Hour Median,Month,Season
18,2021-01-21,Demand Response,1.2352941176470589,21.0,0.0,36.08750000000005,28.670000000000066,46.814000000000036,62.08333333333334,13.312014166666666,,,,,January,Winter
19,2021-01-21,Green Loop,0.9538188277087034,1074.0,0.0,36.08750000000005,28.670000000000066,46.814000000000036,62.08333333333334,13.312014166666666,,,,,January,Winter
20,2021-01-21,Orange Loop,0.7274939172749392,299.0,0.0,36.08750000000005,28.670000000000066,46.814000000000036,62.08333333333334,13.312014166666666,,,,,January,Winter
21,2021-01-21,Red Loop,0.9542395693135935,709.0,0.0,36.08750000000005,28.670000000000066,46.814000000000036,62.08333333333334,13.312014166666666,,,,,January,Winter
22,2021-01-22,Blue Loop,0.7355769230769231,306.0,0.0,31.216250000000038,25.591999999999995,42.404000000000046,66.625,13.271934583333335,,,,,January,Winter
23,2021-01-22,Demand Response,1.4615384615384615,19.0,0.0,31.216250000000038,25.591999999999995,42.404000000000046,66.625,13.271934583333335,,,,,January,Winter
24,2021-01-22,Green Loop,1.0100647016534867,1405.0,0.0,31.216250000000038,25.591999999999995,42.404000000000046,66.625,13.271934583333335,,,,,January,Winter
25,2021-01-22,Orange Loop,0.625,215.0,0.0,31.216250000000038,25.591999999999995,42.404000000000046,66.625,13.271934583333335,,,,,January,Winter
26,2021-01-22,Red Loop,0.9584352078239609,392.0,0.0,31.216250000000038,25.591999999999995,42.404000000000046,66.625,13.271934583333335,,,,,January,Winter
27,2021-01-23,Blue Loop,0.2867647058823529,39.0,0.0,20.471000000000046,13.388000000000046,31.262000000000054,67.16666666666667,5.182383333333333,,,,,January,Winter
28,2021-01-23,Green Loop,0.3648068669527897,85.0,0.0,20.471000000000046,13.388000000000046,31.262000000000054,67.16666666666667,5.182383333333333,,,,,January,Winter
29,2021-01-24,Orange Loop,3.0,9.0,0.0,28.80650000000003,26.258000000000006,31.55,70.20833333333333,7.8975420833333345,,,0.03937007874015748,,January,Winter
30,2021-01-24,Sunday Green,1.3303571428571428,298.0,0.0,28.80650000000003,26.258000000000006,31.55,70.20833333333333,7.8975420833333345,,,0.03937007874015748,,January,Winter
31,2021-01-24,Sunday Orange,0.8736559139784946,325.0,0.0,28.80650000000003,26.258000000000006,31.55,70.20833333333333,7.8975420833333345,,,0.03937007874015748,,January,Winter
32,2021-01-25,Blue Loop,0.7901701323251418,418.0,0.0,30.328769230769268,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,,January,Winter
33,2021-01-25,Demand Response,1.3333333333333333,24.0,0.0,30.328769230769268,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,,January,Winter
34,2021-01-25,Green Loop,1.041255605381166,1161.0,0.0,30.328769230769268,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,,January,Winter
35,2021-01-25,Orange Loop,0.8086642599277978,448.0,0.0,30.328769230769268,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,,January,Winter
36,2021-01-25,Red Loop,1.158640226628895,818.0,0.0,30.328769230769268,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,,January,Winter
37,2021-01-26,Blue Loop,0.7270875763747454,357.0,0.0,33.618758620689675,31.082000000000008,36.032000000000025,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039368,,January,Winter
38,2021-01-26,Demand Response,1.2,18.0,0.0,33.618758620689675,31.082000000000008,36.032000000000025,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039368,,January,Winter
39,2021-01-26,Green Loop,1.059437751004016,1319.0,0.0,33.618758620689675,31.082000000000008,36.032000000000025,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039368,,January,Winter
40,2021-01-26,Orange Loop,0.6645702306079665,317.0,0.0,33.618758620689675,31.082000000000008,36.032000000000025,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039368,,January,Winter
41,2021-01-26,Red Loop,1.0246734397677795,706.0,0.0,33.618758620689675,31.082000000000008,36.032000000000025,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039368,,January,Winter
42,2021-01-27,Blue Loop,0.8451242829827916,442.0,0.0,28.74575000000005,25.538000000000054,31.94600000000005,84.75,10.078617083333333,,,0.06692913385826772,,January,Winter
43,2021-01-27,Demand Response,1.5238095238095237,32.0,0.0,28.74575000000005,25.538000000000054,31.94600000000005,84.75,10.078617083333333,,,0.06692913385826772,,January,Winter
44,2021-01-27,Green Loop,1.0589941972920696,1095.0,10.0,28.74575000000005,25.538000000000054,31.94600000000005,84.75,10.078617083333333,,,0.06692913385826772,,January,Winter
45,2021-01-27,Orange Loop,1.1495535714285714,515.0,0.0,28.74575000000005,25.538000000000054,31.94600000000005,84.75,10.078617083333333,,,0.06692913385826772,,January,Winter
46,2021-01-27,Red Loop,1.1764705882352942,900.0,0.0,28.74575000000005,25.538000000000054,31.94600000000005,84.75,10.078617083333333,,,0.06692913385826772,,January,Winter
47,2021-01-28,Blue Loop,0.8151093439363817,410.0,0.0,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.61071125,,,0.07874015748031496,,January,Winter
48,2021-01-28,Demand Response,1.368421052631579,26.0,0.0,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.61071125,,,0.07874015748031496,,January,Winter
49,2021-01-28,Green Loop,0.9539579967689822,1181.0,3.0,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.61071125,,,0.07874015748031496,,January,Winter
50,2021-01-28,Orange Loop,0.8337236533957846,356.0,0.0,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.61071125,,,0.07874015748031496,,January,Winter
51,2021-01-28,Red Loop,1.0388489208633094,722.0,0.0,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.61071125,,,0.07874015748031496,,January,Winter
52,2021-01-29,Blue Loop,0.5550755939524838,257.0,0.0,23.72975000000004,17.924000000000017,32.990000000000016,71.875,3.0665541666666662,,,,,January,Winter
53,2021-01-29,Demand Response,1.2666666666666666,19.0,0.0,23.72975000000004,17.924000000000017,32.990000000000016,71.875,3.0665541666666662,,,,,January,Winter
54,2021-01-29,Green Loop,1.0102929532858274,1276.0,2.0,23.72975000000004,17.924000000000017,32.990000000000016,71.875,3.0665541666666662,,,,,January,Winter
55,2021-01-29,Orange Loop,0.6344086021505376,236.0,0.0,23.72975000000004,17.924000000000017,32.990000000000016,71.875,3.0665541666666662,,,,,January,Winter
56,2021-01-29,Red Loop,0.8269230769230769,387.0,0.0,23.72975000000004,17.924000000000017,32.990000000000016,71.875,3.0665541666666662,,,,,January,Winter
57,2021-01-31,Sunday Green,1.364864864864865,303.0,0.0,33.13446153846155,30.25400000000005,34.358000000000004,89.48717948717949,14.490597692307697,0.19685039370078736,0.903543307086614,0.20078740157480315,,January,Winter
58,2021-01-31,Sunday Orange,0.8230563002680965,307.0,0.0,33.13446153846155,30.25400000000005,34.358000000000004,89.48717948717949,14.490597692307697,0.19685039370078736,0.903543307086614,0.20078740157480315,,January,Winter
59,2021-02-01,Blue Loop,0.8185185185185185,442.0,0.0,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333335,,,0.03937007874015748,,February,Winter
60,2021-02-01,Demand Response,1.4782608695652173,34.0,0.0,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333335,,,0.03937007874015748,,February,Winter
61,2021-02-01,Green Loop,0.9681952662721893,1309.0,2.0,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333335,,,0.03937007874015748,,February,Winter
62,2021-02-01,Orange Loop,0.7627494456762749,344.0,0.0,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333335,,,0.03937007874015748,,February,Winter
63,2021-02-01,Red Loop,1.0275103163686383,747.0,0.0,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333335,,,0.03937007874015748,,February,Winter
64,2021-02-02,Blue Loop,0.6660039761431411,335.0,0.0,23.58050000000004,15.386000000000069,31.19000000000002,76.625,11.138395833333332,,,,,February,Winter
